nome,link,tipo,categoria
Santo Gen Verde.pdf,https://drive.google.com/file/d/0B125_qILHPJecFlRTEZCU3FRdUlGTEpRZDJwb3cyVW1lbEFB/view?usp=drivesdk&resourcekey=0-8CHvrkWr7MTWgbgbyv4R8Q,testo,altro
SALVE REGINA.pdf,https://drive.google.com/file/d/0B125_qILHPJeclJqVHNweGVYZTBvZVZSV3JiQ05XQUx2R1hZ/view?usp=drivesdk&resourcekey=0-2D7bEOoQH-YjF70TK4Lcxg,testo,altro
Salmo 8.pdf,https://drive.google.com/file/d/0B125_qILHPJed2JnbTM3TXNlalRNTlVGQ212LUktaFc4RUo0/view?usp=drivesdk&resourcekey=0-cdD_IVpwtaMbFEXZaYKg4Q,testo,altro
Gesù e la samaritana.pdf,https://drive.google.com/file/d/0B125_qILHPJeMWNCNmI1QV84c05ZenJrOFJyOGdxbldVSWRv/view?usp=drivesdk&resourcekey=0-KtPP53Mrv980FkJm1dTLhA,testo,altro
Ti ringrazio mio Signore.pdf,https://drive.google.com/file/d/0B125_qILHPJeZXdCN2h4SGhUMXRVWEhiMU1KaDBaV0p4TmpB/view?usp=drivesdk&resourcekey=0-VMSQnkvXJsI2TZLbr_WiWA,testo,altro
Dolce Maria.pdf,https://drive.google.com/file/d/0B125_qILHPJecGNBZzk4azhfM0xFQzd6NnNkc1czN2hqSFRr/view?usp=drivesdk&resourcekey=0-eIlvAEYLm1lgHCoQ5ny9Fg,testo,altro
Atto penitenziale Kyrie Eleison Taize.pdf,https://drive.google.com/file/d/0B125_qILHPJeeVdKbEJjdDhqZjlNaTdNRldjX3ZZS2Y1RlBN/view?usp=drivesdk&resourcekey=0-8JRJtjWBZ8PP4qGzHAh1Og,testo,altro
LE TUE MERAVIGLIE.pdf,https://drive.google.com/file/d/0B125_qILHPJeUElPbHFFM0liVE04OE1YVTF4bFIzeFJDNEp3/view?usp=drivesdk&resourcekey=0-qlsUD9oMR65H3o_R_dsfxg,testo,altro
INVOCHIAMO LA TUA PRESENZA.pdf,https://drive.google.com/file/d/0B125_qILHPJeZUlwM1ktcVNYV3h0QnZidU9NbktMcFk5MDFj/view?usp=drivesdk&resourcekey=0-AL0nbGjMxpL5RB1pl997jw,testo,altro
E poi seguimi.pdf,https://drive.google.com/file/d/0B125_qILHPJeUVhPWHZQWkg3ai12NnNlQ0d0emQ1NVhxbDZF/view?usp=drivesdk&resourcekey=0-CYinhmIslYSSNkPp7ykr6g,testo,altro
